( 3aMad.wav "pau E a: pau" ("E-a:") )
( 3aSakin.wav "pau E pau" ("E-pau") )
( 3a.wav "pau ? a pau" ("?-a") )
( 3iMad.wav "pau ? a pau" ("?-a") )
( 3i.wav "pau ? a pau" ("?-a") )
( 3oMad.wav "pau ? a pau" ("?-a") )
( 3o.wav "pau ? a pau" ("?-a") )
( 7aMad.wav "pau ? a pau" ("?-a") )
( 7a.wav "pau ? a pau" ("?-a") )
( 7iMad.wav "pau ? a pau" ("?-a") )
( 7i.wav "pau ? a pau" ("?-a") )
( 7oMad.wav "pau ? a pau" ("?-a") )
( 7o.wav "pau ? a pau" ("?-a") )
( 9aMad.wav "pau ? a pau" ("?-a") )
( 9aSakin.wav "pau ? a pau" ("?-a") )
( 9a.wav "pau ? a pau" ("?-a") )
( 9iMad.wav "pau ? a pau" ("?-a") )
( 9i.wav "pau ? a pau" ("?-a") )
( 9oMad.wav "pau ? a pau" ("?-a") )
( 9oSakin.wav "pau ? a pau" ("?-a") )
( 9o.wav "pau ? a pau" ("?-a") )
( AaMad.wav "pau ? a pau" ("?-a") )
( AaSakin.wav "pau ? a pau" ("?-a") )
( Aa.wav "pau ? a pau" ("?-a") )
( AiMad.wav "pau ? a pau" ("?-a") )
( Ai.wav "pau ? a pau" ("?-a") )
( AoMad.wav "pau ? a pau" ("?-a") )
( Ao.wav "pau ? a pau" ("?-a") )
( BaMad.wav "pau ? a pau" ("?-a") )
( BaSakin.wav "pau ? a pau" ("?-a") )
( Ba.wav "pau ? a pau" ("?-a") )
( BiMad.wav "pau ? a pau" ("?-a") )
( Bi.wav "pau ? a pau" ("?-a") )
( BoMad.wav "pau ? a pau" ("?-a") )
( Bo.wav "pau ? a pau" ("?-a") )
( DaMad.wav "pau ? a pau" ("?-a") )
( DaSakin.wav "pau ? a pau" ("?-a") )
( Da.wav "pau ? a pau" ("?-a") )
( DhaMad.wav "pau ? a pau" ("?-a") )
( DhaSakin.wav "pau ? a pau" ("?-a") )
( Dha.wav "pau ? a pau" ("?-a") )
( DhiMad.wav "pau ? a pau" ("?-a") )
( Dhi.wav "pau ? a pau" ("?-a") )
( DhoMad.wav "pau ? a pau" ("?-a") )
( Dho.wav "pau ? a pau" ("?-a") )
( DiMad.wav "pau ? a pau" ("?-a") )
( Di.wav "pau ? a pau" ("?-a") )
( DoMad.wav "pau ? a pau" ("?-a") )
( Do.wav "pau ? a pau" ("?-a") )
( FaMad.wav "pau ? a pau" ("?-a") )
( FaSakin.wav "pau ? a pau" ("?-a") )
( Fa.wav "pau ? a pau" ("?-a") )
( FiMad.wav "pau ? a pau" ("?-a") )
( Fi.wav "pau ? a pau" ("?-a") )
( FoMad.wav "pau ? a pau" ("?-a") )
( Fo.wav "pau ? a pau" ("?-a") )
( GhaMad.wav "pau ? a pau" ("?-a") )
( GhaSakin.wav "pau ? a pau" ("?-a") )
( Gha.wav "pau ? a pau" ("?-a") )
( GhiMad.wav "pau ? a pau" ("?-a") )
( Ghi.wav "pau ? a pau" ("?-a") )
( GhoMad.wav "pau ? a pau" ("?-a") )
( Gho.wav "pau ? a pau" ("?-a") )
( HaMad.wav "pau ? a pau" ("?-a") )
( HaSakin.wav "pau ? a pau" ("?-a") )
( HaSkin.wav "pau ? a pau" ("?-a") )
( Ha.wav "pau ? a pau" ("?-a") )
( HiMad.wav "pau ? a pau" ("?-a") )
( Hi.wav "pau ? a pau" ("?-a") )
( HoMad.wav "pau ? a pau" ("?-a") )
( Ho.wav "pau ? a pau" ("?-a") )
( JaMad.wav "pau ? a pau" ("?-a") )
( JaSakin.wav "pau ? a pau" ("?-a") )
( Ja.wav "pau ? a pau" ("?-a") )
( JiMad.wav "pau ? a pau" ("?-a") )
( Ji.wav "pau ? a pau" ("?-a") )
( JoMad.wav "pau ? a pau" ("?-a") )
( Jo.wav "pau ? a pau" ("?-a") )
( KaMad.wav "pau ? a pau" ("?-a") )
( KaSakin.wav "pau ? a pau" ("?-a") )
( Ka.wav "pau ? a pau" ("?-a") )
( KhaMad.wav "pau ? a pau" ("?-a") )
( KhaSakin.wav "pau ? a pau" ("?-a") )
( Kha.wav "pau ? a pau" ("?-a") )
( KhiMad.wav "pau ? a pau" ("?-a") )
( Khi.wav "pau ? a pau" ("?-a") )
( KhoMad.wav "pau ? a pau" ("?-a") )
( Kho.wav "pau ? a pau" ("?-a") )
( KiMad.wav "pau ? a pau" ("?-a") )
( Ki.wav "pau ? a pau" ("?-a") )
( KoMad.wav "pau ? a pau" ("?-a") )
( Ko.wav "pau ? a pau" ("?-a") )
( LaMad.wav "pau ? a pau" ("?-a") )
( LaSakin.wav "pau ? a pau" ("?-a") )
( La.wav "pau ? a pau" ("?-a") )
( LiMad.wav "pau ? a pau" ("?-a") )
( Li.wav "pau ? a pau" ("?-a") )
( LoMad.wav "pau ? a pau" ("?-a") )
( Lo.wav "pau ? a pau" ("?-a") )
( MaMad.wav "pau ? a pau" ("?-a") )
( MaSakin.wav "pau ? a pau" ("?-a") )
( Ma.wav "pau ? a pau" ("?-a") )
( MiMad.wav "pau ? a pau" ("?-a") )
( Mi.wav "pau ? a pau" ("?-a") )
( MoMad.wav "pau ? a pau" ("?-a") )
( Mo.wav "pau ? a pau" ("?-a") )
( NaMad.wav "pau ? a pau" ("?-a") )
